ID,Date,Extent_km,Cer,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,urban_1850,urban_1900,urban_1950,urban_2000
"139","1929",28.08,"75",0,0,0,0,-0.18199548125267,-0.160495355725288,-0.0847235098481178,-0.0200279504060745,0.00239624874666333,0.00221303869329859,0.0020926738216076,0.000760811381042004
"140","1929",5.82,"100",-0.12026323304687,-0.0980553619674256,-0.00900057536725307,0,0,0,0,0,0,0,0,0
"141","1928",506.14,"100",0,0,0,0,-0.766859114170074,-0.74605792760849,-0.358719319105148,0,0.00557884015142918,0.00557884015142918,0.00557884015142918,0.00306787109002471
"142","1927",0.9,"75",0,0,0,0,-0.179081319587334,-0.177558599727258,-0.126411272900208,-0.0445387277175033,0.0243493197485805,0.0237616720842198,0.0226839848328382,0.00804710388183594
"143","1927",0.9,"75",0,0,0,0,-0.179081319587334,-0.177558599727258,-0.126411272900208,-0.0445387277175033,0.0243493197485805,0.0237616720842198,0.0226839848328382,0.00804710388183594
"144","1926",2.29,"100",0,0,0,0,-0.609215136617422,-0.602267917245626,-0.461241271346807,-0.0634328462183475,0.00283996621146798,0.00283996621146798,0.00283996621146798,0.00283996621146798
"145","1926",0.51,"75",0,0,0,0,0,0,0,0,0.00147781672421843,0.00147781672421843,0.00147781672421843,0.00147781672421843
"146","1924",1008.51,"100",0,0,0,0,-0.646293573081493,-0.612607710063457,-0.280697278678417,-0.00754600763320923,0,0,0,0
"147","1922",6.30541,"75",0,0,0,0,-0.49903067946434,-0.48703208565712,-0.348898351192474,-0.0669977068901062,0,0,0,0
"148","1920",732.32,"100",0,0,0,0,-4.36287120205226e-021,-1.77509441292015e-021,-1.01931255329139e-021,-2.8397381733988e-023,0,0,0,0
"149","1919",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"150","1915",2.412,"75",0,0,0,0,-0.280762553215027,-0.268377363681793,-0.130299806594849,-0.0120601058006287,0,0,0,0
"151","1915",40.592,"50",0,0,0,0,-0.543492034077644,-0.515846744179726,-0.240603998303413,-0.00966924428939819,0,0,0,0
"152","1915",40.592,"50",0,0,0,0,-0.543492034077644,-0.515846744179726,-0.240603998303413,-0.00966924428939819,0,0,0,0
"153","1915",1.997,"75",-0.555364489555359,-0.52966582775116,-0.261968582868576,-0.0242189019918442,0,0,0,0,9.63322017923929e-005,0.000108069591078674,0.000145295794936828,3.71522983186878e-005
"154","1913",2191.37,"75",0,0,0,0,-0.12705968413502,-0.112951521761715,-0.0624604625627398,-0.00811642617918551,0,0,0,0
"155","1912",1008.51,"100",0,0,0,0,-0.646293573081493,-0.612607710063457,-0.280697278678417,-0.00754600763320923,0,0,0,0
"156","1911",0.6,"75",0,0,0,0,0,0,0,0,0.151932124048471,0.145142830908298,0.130266152322292,0.0427765250205994
"157","1911",9.15,"75",0,0,0,0,-0.576954612508416,-0.483239332213998,-0.275482604280114,-0.0205559600144625,0.00953508075326681,0.00953508075326681,0.00953508075326681,0.00637046503834426
"158","1911",9.15,"75",0,0,0,0,-0.576954612508416,-0.483239332213998,-0.275482604280114,-0.0205559600144625,0.00953508075326681,0.00953508075326681,0.00953508075326681,0.00637046503834426
"159","1911",9.15,"75",0,0,0,0,-0.576954612508416,-0.483239332213998,-0.275482604280114,-0.0205559600144625,0.00953508075326681,0.00953508075326681,0.00953508075326681,0.00637046503834426
"160","1911",9.15,"75",0,0,0,0,-0.576954612508416,-0.483239332213998,-0.275482604280114,-0.0205559600144625,0.00953508075326681,0.00953508075326681,0.00953508075326681,0.00637046503834426
"161","1910",433.33,"75",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
"162","1910",433.33,"100",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
